Song Title,Row Done?,Song FileLinks,Cover Art File Links,Snippet File Links,Studio Session File Links,Era,Date Released,Date Leaked,Date Recorded,Produced by,Features
adore you | dark knight | seen a soul like yours | hold u | adore u | hold you,FALSE,https://onlyfiles.io/f/21cca42b629543d3a2e1e866131c202e,https://cdn.discordapp.com/attachments/978161565691953184/1000617946462302328/Adore_Youq1hh.png|https://cdn.discordapp.com/attachments/978161565691953184/1000617946789462137/Adore_You_hh.png|https://cdn.discordapp.com/attachments/978161565691953184/1000617947062079538/Adore_You.hh.jpg|https://cdn.discordapp.com/attachments/978161565691953184/1000617947271811072/Adore_You_hh.JPG,https://cdn.discordapp.com/attachments/1009545334826995813/1009556064473202819/Adore_You6.hh.mov|https://cdn.discordapp.com/attachments/1009545334826995813/1009556065114923008/Adore_You.5.hh.mov|https://cdn.discordapp.com/attachments/1009545334826995813/1009556065668567141/Adore_You.4.hh.mov|https://cdn.discordapp.com/attachments/1009545334826995813/1009556072849219634/Adore_You1.hh.mp4|https://cdn.discordapp.com/attachments/1009545334826995813/1009556066427740281/Adore_You3.hh.mp4|https://cdn.discordapp.com/attachments/1009545334826995813/1009556204835577886/Adore_You7.hh.mov|https://cdn.discordapp.com/attachments/1009545334826995813/1009556068088692746/Adore_You2.hh.mp4,,,,,,,
agree to disagree,FALSE,,,,,,,,,,
aint livin right | aint living right,FALSE,,,,,,,,,,
aint talkin toronto,FALSE,,,,,,,,,,
airport security,FALSE,,,,,,,,,,
all alone | on my own | fighting | all on my own,FALSE,,,,,,,,,,
all burnt up,FALSE,,,,,,,,,,
all girls are the same | same,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1016963087640838165/All_Burnt_Up.m4a,,,,,,,,,
all night,FALSE,,,,,,,,,,
all of me | what to think | dolce,FALSE,,,,,,,,,,
all out,FALSE,,,,,,,,,,
all smoke,FALSE,,,,,,,,,,
all talk | bankroll,FALSE,,https://cdn.discordapp.com/attachments/1016936737261490237/1017716789305679922/Juice_Wrld_makonnen_-_100_band_jugg_v1.2_170_rexjuice2.wav|https://onlyfiles.io/f/89c79f790217403b836e7193182b413a|https://cdn.discordapp.com/attachments/1008460764098609283/1008465365761802260/100_Band_Jugg_feat._iLoveMakonnen.m4a,,,,,,,,
all the same,FALSE,,,,,,,,,,
already,FALSE,,,,,,,,,,
already dead | relapse,FALSE,,,,,,,,,,
alright | buried alive,FALSE,,,,,,,,,,
always workin,FALSE,,,,,,,,,,
analog,FALSE,,,,,,,,,,
and go | come & go | ruin this one | off my chest | come and go | & go,FALSE,,,,,,,,,,
animal | obsessed | but how,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1016954637493993472/Anything_But_Normal.m4a,https://media.discordapp.net/attachments/1016936737261490237/1016955511289155594/Anything_but_normal.jpeg?width=590&height=590|https://media.discordapp.net/attachments/1016936737261490237/1016955511524048936/Anything_But_Normal.png,,,WOD,Unreleased,"September 6, 2019","June 18, 2018",Take A Daytrip,
another one | dj khaled,FALSE,,,,,,,,,,
another thing to do it | attdi | do it,FALSE,,,,,,,,,,
another way,FALSE,,,,,,,,,,
anxiety,FALSE,,,,,,,,,,
any other way,FALSE,,,,,,,,,,
anything but normal,FALSE,,,,,,,,,,
aquafina | in the cut,FALSE,,,,,,,,,,
armed and dangerous | armed & dangerous,FALSE,,,,,,,,,,
army armory,FALSE,,,,,,,,,,
astray,FALSE,https://cdn.discordapp.com/attachments/1016936737261490237/1017697150605475890/astray_magical_edit.mp3,,,,,,,,,
astronauts,FALSE,,,,,,,,,,
attachments | i fell in love with the attachments | versace,FALSE,,,,,,,,,,
autograph | on my line | twitter beef,FALSE,,,,,,,,,,
aye aye,FALSE,,,,,,,,,,
aye ayee | ayee | god damn,FALSE,,,,,,,,,,
back home,FALSE,,,,,,,,,,
back in chicago | first class | broke ass,FALSE,,,,,,,,,,
back on it,FALSE,,,,,,,,,,
bad boy | the bad boys,FALSE,,,,,,,,,,
bad energy | bad memories,FALSE,,,,,,,,,,
baguettes | chanel vintage | peanut butter seats,FALSE,,,,,,,,,,
ball | larry bird,FALSE,,,,,,,,,,
bandit | molly savage | stole her | bad bitch bandit,FALSE,,,,,,,,,,
bank account,FALSE,,,,,,,,,,
barbarian | vandal,FALSE,,,,,,,,,,
battle scars,FALSE,,,,,,,,,,
been a while | last time,FALSE,,,,,,,,,,
been myself,FALSE,,,,,,,,,,
been through this | thousand times | a thousand times | 1000 times | ive been thought this a 1000 times,FALSE,,,,,,,,,,
before tomorrow,FALSE,,,,,,,,,,
bel air,FALSE,,,,,,,,,,
best around | racks out,FALSE,,,,,,,,,,
best believe,FALSE,,,,,,,,,,
best of em | western,FALSE,,,,,,,,,,
betray my trust | betrayal,FALSE,,,,,,,,,,
better off alone,FALSE,,,,,,,,,,
big,FALSE,,,,,,,,,,
big dog,FALSE,,,,,,,,,,
big swag,FALSE,,,,,,,,,,
billy idol | mary jane,FALSE,,,,,,,,,,
birds eye view | girl i knew,FALSE,,,,,,,,,,
biscotti in the air | real ones | putting biscotti in the air,FALSE,,,,,,,,,,
bitch youre done | youre done | ur done | bitch ur done,FALSE,,,,,,,,,,
bitter asff | bitter asf,FALSE,,,,,,,,,,
bitty | bity,FALSE,,,,,,,,,,
black & white | black and white | friends,FALSE,,,,,,,,,,
blastoff | blast off,FALSE,,,,,,,,,,
